person_lang	T01P01Q01	T01P01Q02	T01P01Q03	T01P01Q04	T01P01Q05	T01P01Q06	T01P02Q01	T01P02Q02	T01P02Q03	T01P02Q04	T01P02Q05	T01P03Q01	T01P03Q02	T01P03Q03	T01P03Q04	T01P03Q05	T01P03Q06	T01P04Q01	T01P04Q02	T01P04Q03	T01P04Q04	T01P04Q05	T01P05Q01	T01P05Q02	T01P05Q03	T01P05Q04	T01P05Q05	T01P06Q01	T01P06Q02	T01P06Q03	T01P06Q04	T01P06Q05	T01P07Q01	T01P07Q02	T01P07Q03	T01P07Q04	T01P07Q05	T01P08Q01	T01P08Q02	T01P08Q03	T01P08Q04	T01P08Q05	T01P09Q01	T01P09Q02	T01P09Q03	T01P09Q04	T01P09Q05	T01P10Q01	T01P10Q02	T01P10Q03	T01P10Q04	T01P10Q05	T01P11Q01	T01P11Q02	T01P11Q03	T01P11Q04	T01P11Q05	T01P12Q01	T01P12Q02	T01P12Q03	T01P12Q04	T01P12Q05	T02P01Q01	T02P01Q02	T02P01Q03	T02P01Q04	T02P01Q05	T02P01Q06	T02P02Q01	T02P02Q02	T02P02Q03	T02P02Q04	T02P02Q05	T02P02Q06	T02P03Q01	T02P03Q02	T02P03Q03	T02P03Q04	T02P03Q05	T02P04Q01	T02P04Q02	T02P04Q03	T02P04Q04	T02P04Q05	T02P04Q06	T02P05Q01	T02P05Q02	T02P05Q03	T02P05Q04	T02P05Q05	T02P06Q01	T02P06Q02	T02P06Q03	T02P06Q04	T02P07Q01	T02P07Q02	T02P07Q03	T02P07Q04	T02P07Q05	T02P08Q01	T02P08Q02	T02P08Q03	T02P08Q04	T02P08Q05	T02P08Q06	T02P09Q01	T02P09Q02	T02P09Q03	T02P09Q04	T02P09Q05	T02P09Q06	T02P10Q01	T02P10Q02	T02P10Q03	T02P10Q04	T02P10Q05	T02P11Q01	T02P11Q02	T02P11Q03	T02P11Q04	T02P11Q05	T02P11Q06	T02P12Q01	T02P12Q02	T02P12Q03	T02P12Q04	T02P12Q05
s50de	X	X	X	X	X	X	X	X	X	X	X	1	3	0	3	0	0	X	X	X	X	X	X	X	X	X	X	3	0	4	1	2	X	X	X	X	X	X	X	X	X	X	2	1	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	3	3	2	X	X	X	X	X	X	X	X	X	0	2	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	4
s50en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	0	3	X	X	X	X	X	X	X	X	X	X	3	1	3	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	3	1	2	X	X	X	X	X	X	2	2	1	2	0	1	X	X	X	X	X	X	X	X	X	X	X	1	0	2	2	1	X	X	X	X	X	X	X	X	X	0	2	6	1	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s50sh	0	0	0	0	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	0	1	2	1	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	1	2	X	X	X	X	X	X	X	X	X	X	X	1	2	0	0	X	X	X	X	X	X	X	X	X	X	X	0	1	0	1	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s50tg	X	X	X	X	X	X	1	1	1	1	1	X	X	X	X	X	X	X	X	X	X	X	1	2	3	2	1	X	X	X	X	X	X	X	X	X	X	2	0	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	1	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	3	0	1	1	1	2	1	0	1	2	X	X	X	X	X
s51de	X	X	X	X	X	X	X	X	X	X	X	1	3	0	3	3	0	X	X	X	X	X	X	X	X	X	X	3	2	5	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	2	1	X	X	X	X	2	2	2	2	0	X	X	X	X	X	X	3	2	3	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s51en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	4	1	2	X	X	X	X	X	3	1	4	1	2	X	X	X	X	X	2	0	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	4	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	6	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	1	1	5
s51sh	2	1	1	3	2	6	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	3	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	5	2	4	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	4	2	1	6	X	X	X	X	X	X	X	X	X	X	X
s51tg	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	1	0	0	2	1	1	2	3	3	2	1	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	1	1	1	X	X	X	X	X
s52de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	1	1	3	1	2	3	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	0	1	0	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	1	1	1	1	X	X	X	X	X
s52en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	4	0	0	3	1	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	3	2	1	1	X	X	X	X	X	X	X	X	X	X	X	1	2	1	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	2	0	1	1	X	X	X	X	X	X	2	0	1	1	4	X	X	X	X	X	X	X	X	X	X	X
s52sh	3	0	1	3	1	4	X	X	X	X	X	1	0	1	3	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	4	3	2	1	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	3	2	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s52tg	X	X	X	X	X	X	0	1	1	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	0	0	2	X	X	X	X	X	0	0	2	1	0	X	X	X	X	X	X	X	X	X	X	0	0	1	1	0	3	X	X	X	X	X	X	0	1	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	3
s53de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	0	1	0	2	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	2	1	0	0	0	0	1	0	1	0	0	0	1	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s53en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	0	1	2	2	0	0	2	2	1	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	1	1	2	3	3	2	1	1	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	4	2	1	4	X	X	X	X	X	X	X	X	X	X	X
s53sh	X	X	X	X	X	X	X	X	X	X	X	1	3	1	1	1	1	2	1	1	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	2	1	1	0	2	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	0	1	2	X	X	X	X	X
s53tg	2	0	0	3	1	0	1	0	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	0	0	2	2	1	0	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	0	4
s54de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	4	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	3	2	X	X	X	X	X	1	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	2	4	2	2	1	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	2	1	5
s54en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	5	1	2	3	1	3	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	3	1	2	1	2	1	1	2	3	3	2	1	2	2	1	X	X	X	X	X	2	2	1	4	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s54sh	X	X	X	X	X	X	X	X	X	X	X	1	3	1	2	3	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	0	2	2	X	X	X	X	X	3	2	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	1	1	1	X	X	X	X	X	1	2	1	1	1	2	X	X	X	X	X
s54tg	3	1	1	3	2	6	1	2	1	2	1	X	X	X	X	X	X	2	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	3	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	6	2	1	2	X	X	X	X	X	X	2	3	2	1	6	X	X	X	X	X	X	X	X	X	X	X
s55de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	1	X	X	X	X	X	X	X	X	X	X	2	0	0	0	0	X	X	X	X	X	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	1	0	1	1	1	0	X	X	X	X	X	X	X	X	X	X	X	2	2	1	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	0	2
s55en	0	1	0	2	1	6	X	X	X	X	X	X	X	X	X	X	X	0	1	1	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	2	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	0	0	2	0	2	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s55sh	X	X	X	X	X	X	1	1	0	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	0	2	3	0	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	0	2	1	X	X	X	X	X	X	X	X	X	2	2	3	0	1	1	X	X	X	X	X	X	X	X	X	X	X	1	2	1	0	1	1	X	X	X	X	X
s55tg	X	X	X	X	X	X	X	X	X	X	X	0	0	0	1	1	0	X	X	X	X	X	X	X	X	X	X	3	0	4	1	0	3	1	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	0	1	0	0	2	0	0	0	1	X	X	X	X	X	X	X	X	X	X	X
s56de	X	X	X	X	X	X	X	X	X	X	X	1	0	0	0	0	1	X	X	X	X	X	X	X	X	X	X	2	0	2	1	0	X	X	X	X	X	0	0	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	1	0	0	0	1	X	X	X	X	0	0	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s56en	X	X	X	X	X	X	1	1	1	1	1	X	X	X	X	X	X	X	X	X	X	X	0	2	1	2	1	X	X	X	X	X	3	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	1	1	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	0	1	0	X	X	X	X	X	1	2	0	1	1	2	X	X	X	X	X
s56sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	1	1	0	X	X	X	X	X	1	2	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	2	1	0	0	2	X	X	X	X	X	X	X	X	X	X	X	0	1	0	0	X	X	X	X	X	0	0	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s56tg	3	0	1	3	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	3	0	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	4	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	4	X	X	X	X	X	X	0	1	2	1	1
s57de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	5	1	2	X	X	X	X	X	2	2	0	0	2	X	X	X	X	X	0	2	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	1	2	0	4	1	1	1	2	2	2	2	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s57en	X	X	X	X	X	X	1	2	1	2	1	1	0	1	0	0	0	2	1	1	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	2	1	X	X	X	X	0	1	2	0	1	X	X	X	X	X	X	2	1	3	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s57sh	0	1	1	3	1	4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	3	2	1	1	3	0	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	5	1	X	X	X	X	X	2	2	6	1	1	1	X	X	X	X	X	X	2	3	2	1	4	X	X	X	X	X	X	X	X	X	X	X
s57tg	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	3	2	1	X	X	X	X	X	3	1	3	0	2	X	X	X	X	X	1	1	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	0	0	2	2	1	2	1	4
s58de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	2	0	2	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	4	0	1	1	X	X	X	X	X	X	2	0	0	1	1	X	X	X	X	X	X	X	X	X	X	X
s58en	X	X	X	X	X	X	X	X	X	X	X	1	3	1	3	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	2	X	X	X	X	X	2	2	2	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	1	3	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	1	X	X	X	X	X	X	0	2	2	1	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s58sh	2	0	0	3	0	1	X	X	X	X	X	X	X	X	X	X	X	0	1	2	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	2	1	4	2	4	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	1	1	1	X	X	X	X	X
s58tg	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	1	0	0	X	X	X	X	X	0	1	2	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	1	0	0	X	X	X	X	X	X	X	X	X	X	X	2	2	1	0	3	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	1	1
s59de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	0	0	2	X	X	X	X	X	3	0	2	1	2	X	X	X	X	X	3	2	3	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	4	2	2	X	X	X	X	X	4	2	1	0	0	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s59en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	3	X	X	X	X	X	3	2	5	1	2	3	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	3	1	2	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	2	2	X	X	X	X	X
s59sh	4	1	1	3	2	6	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	6	2	1	1	X	X	X	X	X	X	2	4	2	1	6	X	X	X	X	X	X	3	1	2	1	6
s59tg	X	X	X	X	X	X	X	X	X	X	X	1	3	1	3	3	1	X	X	X	X	X	1	3	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	0	2	1	1	2	1	3	1	1	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	3	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s60de	X	X	X	X	X	X	X	X	X	X	X	1	0	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	3	1	2	1	1	1	1	0	2	X	X	X	X	X	X	X	X	X	X	X	1	2	1	0	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	2	X	X	X	X	X	X	X	X	X	X	X
s60en	3	1	1	3	1	4	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	1	2	2	0	X	X	X	X	X	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	1	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s60sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	4	1	2	X	X	X	X	X	2	0	2	0	2	X	X	X	X	X	X	X	X	X	X	1	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	2	1	4
s60tg	X	X	X	X	X	X	1	0	1	2	1	X	X	X	X	X	X	X	X	X	X	X	1	2	3	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	4	0	X	X	X	X	X	0	2	4	0	1	0	X	X	X	X	X	X	X	X	X	X	X	1	2	2	0	0	1	X	X	X	X	X
s61de	0	0	0	2	1	5	1	0	1	1	1	X	X	X	X	X	X	X	X	X	X	X	1	2	0	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	0	0	0	0	4	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	4
s61en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	0	0	0	3	0	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	4	1	0	1	2	2	2	1	0	3	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	2	0	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s61sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	1	0	0	1	1	0	1	0	X	X	X	X	X	0	0	1	0	0	0	0	0	1	1	1	0	X	X	X	X	X	X	X	X	X	X	X	1	0	2	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s61tg	X	X	X	X	X	X	X	X	X	X	X	1	3	1	3	0	1	0	1	2	0	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	4	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	1	6	0	2	2	0	1	2	X	X	X	X	X
s62de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	3	2	X	X	X	X	X	1	0	2	1	0	0	1	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	0	0	0	1	2	2	2	1	4	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	0	2	X	X	X	X	X	X	X	X	X	X	X
s62en	X	X	X	X	X	X	X	X	X	X	X	1	0	1	0	2	1	0	1	0	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	1	1	X	X	X	X	X	X	X	X	X	X	0	2	1	1	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	2	1	X	X	X	X	0	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
